counter_party,timestamp,type,eth_value,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x4ea70f04313fae65c3ff224a055c3d2dab28dddf,2017-03-16 03:24:40,received,1.0,1,0,1.0,0.0
0x748717413ad0fd31e957c0b00bb6114d05ab558a,2017-03-16 05:07:36,sent,0.9,0,1,0.0,0.9
0x4ea70f04313fae65c3ff224a055c3d2dab28dddf,2017-03-16 12:08:47,received,18998.0,2,0,18999.0,0.0
0x4ea70f04313fae65c3ff224a055c3d2dab28dddf,2017-03-16 12:36:17,received,0.795233,3,0,18999.795233,0.0
0x748717413ad0fd31e957c0b00bb6114d05ab558a,2017-03-17 03:01:42,sent,1000.0,0,2,0.0,1000.9
0x6cd8712e361421bb799c33b64d08729ebcf5747b,2017-04-29 15:32:37,sent,540.0,0,1,0.0,540.0
0x6cd8712e361421bb799c33b64d08729ebcf5747b,2017-05-01 01:46:57,sent,690.0,0,2,0.0,1230.0
0x6cd8712e361421bb799c33b64d08729ebcf5747b,2017-05-19 14:20:13,sent,490.0,0,3,0.0,1720.0
0xa3543def9b4d3fb50557b0028242d1e0e19053fd,2017-05-20 01:42:10,sent,525.0,0,1,0.0,525.0
0xa3543def9b4d3fb50557b0028242d1e0e19053fd,2017-05-21 22:33:15,sent,570.0,0,2,0.0,1095.0
0xa3543def9b4d3fb50557b0028242d1e0e19053fd,2017-05-22 13:11:02,sent,900.0,0,3,0.0,1995.0
0xa3543def9b4d3fb50557b0028242d1e0e19053fd,2017-05-24 20:15:29,sent,600.0,0,4,0.0,2595.0
0x6cd8712e361421bb799c33b64d08729ebcf5747b,2017-06-01 02:03:11,sent,683.8,0,4,0.0,2403.8
0x6cd8712e361421bb799c33b64d08729ebcf5747b,2017-06-11 09:29:04,sent,400.0,0,5,0.0,2803.8
0x6cd8712e361421bb799c33b64d08729ebcf5747b,2017-06-12 20:16:26,sent,400.0,0,6,0.0,3203.8
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2018-01-02 15:15:43,sent,1000.0,0,1,0.0,1000.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2018-01-02 16:21:50,sent,1000.0,0,2,0.0,2000.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2018-01-02 16:41:03,sent,1000.0,0,3,0.0,3000.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2018-01-11 04:15:46,sent,1000.0,0,4,0.0,4000.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2018-01-15 02:02:05,sent,500.0,0,5,0.0,4500.0
0x106dcfcce6712a16f3569330f2e279d74493fe8f,2018-06-24 23:42:00,sent,300.0,0,1,0.0,300.0
0x33538b3808aa60f88d9564bc93e2f70b51e79a55,2019-08-03 19:49:33,received,9.11e-16,1,0,9.11e-16,0.0
0xf171ac6921f962b8d10578ff311359b59f9bf1dd,2020-11-25 21:59:27,sent,450.0,0,1,0.0,450.0
0xf171ac6921f962b8d10578ff311359b59f9bf1dd,2021-01-04 01:57:56,sent,950.0,0,2,0.0,1400.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2021-01-21 01:16:16,sent,950.0,0,6,0.0,5450.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2021-02-17 20:26:15,sent,950.0,0,7,0.0,6400.0
0xe49881137ce73062109ab8696ed81d50671d7435,2021-03-21 18:42:01,sent,500.0,0,1,0.0,500.0
0xd3ab2060253b72641a1205ff1996bb1f844e0411,2021-04-03 15:57:28,sent,700.0,0,1,0.0,700.0
0xe49881137ce73062109ab8696ed81d50671d7435,2021-04-07 11:20:34,sent,100.0,0,2,0.0,600.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2021-05-03 14:28:53,sent,500.0,0,8,0.0,6900.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2021-05-03 14:41:56,sent,500.0,0,9,0.0,7400.0
0xd3ab2060253b72641a1205ff1996bb1f844e0411,2021-05-04 11:43:50,sent,400.0,0,2,0.0,1100.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2021-05-09 04:54:58,sent,600.0,0,10,0.0,8000.0
0xe49881137ce73062109ab8696ed81d50671d7435,2021-11-01 01:28:17,sent,401.0,0,3,0.0,1001.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2021-11-01 01:29:28,sent,400.0,0,11,0.0,8400.0
0xdf3fa72acdd7e6fa469e9bc28b0c4b04e36c19aa,2022-09-11 22:07:36,sent,600.0,0,1,0.0,600.0
0xdf3b95de56e0da17cfcfbc2ed7a5138af411aedb,2023-01-24 21:59:23,sent,700.0,0,12,0.0,9100.0
0xdf3b9548472c033c0defe32ed403b2210611aedb,2024-03-13 07:21:59,received,7e-06,1,0,7e-06,0.0
