wallet_address,timestamp,transaction_hash,from_address,to_address,value_eth,gas_price,gas_used,is_error,transaction_type
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 00:03:19,0x75af2a861c20329d076940bdf2f0f0d48591247adab9a50bb3de4e7694a35863,0xf259e746ece2def13b421a26d2a6f24027f4974d,0x58b6a8a3302369daec383334672404ee733ab239,0.0,7.0,37285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 00:04:58,0x8cd9b496e75bb70fa05cca9972a92f96f18fe52da3623002630ff599fd01e948,0xd168067288c6f388a861929ceac89e5d952ab13b,0x58b6a8a3302369daec383334672404ee733ab239,0.0,3.0,47169.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 00:08:28,0xf983496d41fafbdf51756bcaa4d6dc6c372f49a4f11043e5731d68f59f2c6284,0x8b9395ef9d5bfa3d37e8639b2c81a613be2e39a9,0x58b6a8a3302369daec383334672404ee733ab239,0.0,5.04,22285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 01:01:49,0xd4b82a0f06823dd7ce9941e17c9457cfd0e31d33a4b5884a57f868af0696d893,0x13ef0ba91df06e789cfddc8c72c704948242c801,0x58b6a8a3302369daec383334672404ee733ab239,0.0,1.1,52221.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 01:01:49,0x08bf5c812b52707a317c1cdabb0d2d2c9ab88af873727cefc6faec324eba8cfc,0x13ef0ba91df06e789cfddc8c72c704948242c801,0x58b6a8a3302369daec383334672404ee733ab239,0.0,1.1,52157.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 01:03:31,0x96bfaf3667664be6dcb2d2a4e5a90613b933aa2409d87e8bf0791fa46df422d9,0xfd2418617b08030afb197f64ec6325673b539f7c,0x58b6a8a3302369daec383334672404ee733ab239,0.0,7.0,37285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 01:10:24,0xb24ce14de8028316840efbda2b3aae0a3682be7ae688e4de070f62f3f63966c9,0x86a8931b18cfa6a552d68f2c04e746a369553fb2,0x58b6a8a3302369daec383334672404ee733ab239,0.0,16.0,45697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 01:18:10,0x4abf51f8b6a6fd00bbf05ccbffccf5ff4c804b463dbc761e84ead2223cc3b957,0x74091f7892eca6c1e5014dabb2865a28259cbbfa,0x58b6a8a3302369daec383334672404ee733ab239,0.0,8.0,37285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 01:21:29,0x954ffcfcf0ccef70eef9839ed8b52df4faaef18461122155cae7c33304950d3f,0x3c0b5246b84d419523f16df2de9e490fe82e311a,0x58b6a8a3302369daec383334672404ee733ab239,0.0,1.0,45697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 01:47:32,0xb629d2f48e8d1dd899622777b19082ec0617bb4ba01ebc25cebcc4003c9f888a,0x6dcfe076f96a3dc4ea32aaebd8ddefab39c8e1ae,0x58b6a8a3302369daec383334672404ee733ab239,0.0,9.72,22285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 01:59:47,0x495e0462ddcf922706f22be9561ccb7727abb7952a98bec0408cdfc20bb8c94f,0x2233b56797e2b8c912d492044146fdb77238a374,0x58b6a8a3302369daec383334672404ee733ab239,0.0,6.0,37221.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 02:09:04,0x4ffec6e96569627e876a2cd8b7b289689cabf815aff105c009dcb9f286427a13,0xa1767432be4a64eda1372f443b74eef0e508da11,0x58b6a8a3302369daec383334672404ee733ab239,0.0,4.0,45505.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2019-02-07 02:17:15,0xe699f2c6dff78eb6558528412b3a4f0a9d5ccf6ccecf05a9b6c0cb2ae431ab2a,0x6118d17419e2863ee78be75edd2417e7e71bfdf5,0x58b6a8a3302369daec383334672404ee733ab239,0.0,21.0,37285.0,False,incoming
