from_address,to_address,frequency,times_sent,times_received
0xf259e746ece2def13b421a26d2a6f24027f4974d,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0xd168067288c6f388a861929ceac89e5d952ab13b,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x8b9395ef9d5bfa3d37e8639b2c81a613be2e39a9,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x13ef0ba91df06e789cfddc8c72c704948242c801,0x58b6a8a3302369daec383334672404ee733ab239,2,0,2
0xfd2418617b08030afb197f64ec6325673b539f7c,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x86a8931b18cfa6a552d68f2c04e746a369553fb2,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x74091f7892eca6c1e5014dabb2865a28259cbbfa,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x3c0b5246b84d419523f16df2de9e490fe82e311a,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x6dcfe076f96a3dc4ea32aaebd8ddefab39c8e1ae,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x2233b56797e2b8c912d492044146fdb77238a374,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0xa1767432be4a64eda1372f443b74eef0e508da11,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x6118d17419e2863ee78be75edd2417e7e71bfdf5,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x0be2af2f7fa0512dc8ccffdad7cc105a74d6d658,0x58b6a8a3302369daec383334672404ee733ab239,8,0,8
0xc9502a219fa9860e5d0f44b4124b279014bec044,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0xdd2077a56c6f0f7b219892ff0e3ee16712898079,0x58b6a8a3302369daec383334672404ee733ab239,2,0,2
0x83e81d747529f0eb6145b149c438ab7f9bbd651c,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x678f60c60a543c4e0ed2cf5b834b6e0a497dc456,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x59d977c83932ae3990a55fce45caf5be1051e204,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0xe41b4cecce8cc7f1ded5e284dbd2d1ced9992003,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x948cac8068ed97fe88f981feaad0b076a34f48fb,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0xbdc6dc0d475d5c3aba4949d480cbe616d76af29b,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x47d6d4612f20f759c15f6249105dc792374f6cca,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0xca542061e8757e7a3ad18b3c758c0fdaaaca93c0,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0x28b54fa6fbd87ce560484deb6d750d2fff243552,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0xa2f57cc46a5268f16a0224a81ede7154218ce890,0x58b6a8a3302369daec383334672404ee733ab239,1,0,1
0xe50fc9bf06acf047923fcff9686d06c2aa27354d,0x58b6a8a3302369daec383334672404ee733ab239,5,0,5
0xf43b9231445a0c2e6b777499ae3fb352984a48d2,0x58b6a8a3302369daec383334672404ee733ab239,2,0,2
